Rank,Song,Artist
1,Luther,"Kendrick Lamar, SZA"
2,Die With A Smile,"Lady Gaga, Bruno Mars"
3,Not Like Us,Kendrick Lamar
4,A Bar Song (Tipsy),Shaboozey
5,TV Off,"Kendrick Lamar, Lefty Gunplay"
6,APT.,"ROSE, Bruno Mars"
7,Pink Pony Club,Chappell Roan
8,Nokia,Drake
9,Birds Of A Feather,Billie Eilish
10,Lose Control,Teddy Swims
11,That's So True,Gracie Abrams
12,Beautiful Things,Benson Boone
13,Anxiety,Doechii
14,I Had Some Help,"Post Malone, Morgan Wallen"
15,Love Somebody,Morgan Wallen
16,Squabble Up,Kendrick Lamar
17,I'm The Problem,Morgan Wallen
18,Espresso,Sabrina Carpenter
19,Abracadabra,Lady Gaga
20,30 For 30,"SZA, Kendrick Lamar"
21,Timeless,"The Weeknd, Playboi Carti"
22,Sports Car,Tate McRae
23,Denial Is A River,Doechii
24,Messy,Lola Young
25,Taste,Sabrina Carpenter
26,Too Sweet,Hozier
27,"Good Luck, Babe!",Chappell Roan
28,Stargazing,Myles Smith
29,Who,Jimin
30,Bed Chem,Sabrina Carpenter
31,Revolving Door,Tate McRae
32,Liar,Jelly Roll
33,All The Stars,"Kendrick Lamar, SZA"
34,I Never Lie,Zach Top
35,DTMF,Bad Bunny
36,High Road,"Koe Wetzel, Jessie Murph"
37,I'm Gonna Love You,"Cody Johnson, Carrie Underwood"
38,Sailor Song,Gigi Perez
39,BMF,SZA
40,Die Trying,"PARTYNEXTDOOR, Drake, Yebba"
41,No One Noticed,The Marias
42,Indigo,"Sam Barber, Avery Anna"
43,Ordinary,Alex Warren
44,Baile Inolvidable,Bad Bunny
45,Bad Dreams,Teddy Swims
46,Wildflower,Billie Eilish
47,Whatchu Kno About Me,"GloRilla, Sexyy Red"
48,Worst Way,Riley Green
49,Residuals,Chris Brown
50,Please Please Please,Sabrina Carpenter
51,Good News,Shaboozey
52,Garden Of Eden,Lady Gaga
53,Gimme A Hug,Drake
54,Smile,Morgan Wallen
55,Peekaboo,"Kendrick Lamar, AzChike"
56,Cry For Me,The Weeknd
57,Sorry I'm Here For Someone Else,Benson Boone
58,Sticky,"Tyler, The Creator, GloRilla, Sexyy Red & Lil Wayne"
59,A N X I E T Y,"Sleepy Hallow, Doechii"
60,Mutt,Leon Thomas
61,Vanish Into You,Lady Gaga
62,Tweaker,GELO
63,Me Jalo,"Fuerza Regida, Grupo Frontera"
64,Loco,Neton Vega
65,Somebody Loves Me,"PARTYNEXTDOOR, Drake. "
66,Sweet Dreams,"j-hope, Miguel"
67,Busy Woman,Sabrina Carpenter
68,Ms. Whitman,Bhad Bhabie
69,How Bad Do U Want Me,Lady Gaga
70,Am I Okay?,Megan Moroney
71,Disease,Lady Gaga
72,Tattoo,Tito Double P
73,Hard Fought Hallelujah,Brandon Lake
74,Nuevayol,Bad Bunny
75,Heart Of A Woman,Summer Walker
76,Like Him,"Tyler, The Creator, Lola Young"
77,I Ain't Sayin',Jordan Davis
78,Fat Juicy & Wet,"Sexyy Red, Bruno Mars"
79,No Pole,Don Toliver
80,Handlebars,"JENNIE, Dua Lipa"
81,Perfect Celebrity,Lady Gaga
82,Weren't For The Wind,Ella Langley
83,like JENNIE,JENNIE
84,Little Things,Ella Mai
85,Zombieboy,Lady Gaga
86,Burning Down,Alex Warren
87,Proud Of Me,"Fridayy, Meek Mill"
88,Por Esos Ojos,Fuerza Regida
89,Push 2 Start,Tyla
90,The Largest,BigXthaPlug
91,4x4xU,Lainey Wilson
92,Headlock,Imogen Heap
93,Killah,"Lady Gaga, Gesaffelstein"
94,Call Me When You Break Up,"Selena Gomez, benny blanco, Gracie Abrams"
95,LoveDrug,Lady Gaga
96,Voy A Llevarte Pa PR,Bad Bunny
97,Texas,Blake Shelton
98,Tu Boda,"Oscar Maydon, Fuerza Regida"
99,ExtraL,"JENNIE, Doechii"
100,Te Queria Ver,"Aleman, Neton Vega"